,Manager,ManagerCountry,Team,DateFrom,DateTo,YearRange,Notes
0,Roberto Di Matteo,,Aston Villa,,,2016,"
"
1,Steve Bruce,,Aston Villa,12 October 2016,,2016–2018,"
"
2,Kevin MacDonald,,Aston Villa,,10 October 2018,2018,"
"
3,Dean Smith §,,Aston Villa,10 October 2018,,2018–2019,"
"
4,Andy Ritchie,,Barnsley,13 May 2005,21 November 2006,2006,"[1][2]
"
5,Simon Davey,,Barnsley,22 November 2006,29 August 2009,2006–2009,"[3][4]
"
6,Mark Robins,,Barnsley,,15 May 2011,2009–2011,"[5][6]
"
7,Keith Hill,,Barnsley,,29 December 2012,2011–2012,"[7][8]
"
8,David Flitcroft,,Barnsley,30 December 2012,30 November 2013,2012–2013,"[9][10]
"
9,Danny Wilson,,Barnsley,17 December 2013,12 February 2015,2013–2014,"
"
10,Paul Heckingbottom,,Barnsley,,,2016–2018,"
"
11,Paul Harsley,,Barnsley,,16 February 2018,2018,"
"
12,José Morais,,Barnsley,16 February 2018,,2018,"
"
13,Daniel Stendel,,Barnsley,,,2019,"
"
14,Adam Murray,,Barnsley,,20 November 2019,2019,"
"
15,Gerhard Struber,,Barnsley,20 November 2019,,2019–2020,"
"
16,Adam Murray,,Barnsley,,23 October 2020,2020,"
"
17,Valérien Ismaël,,Barnsley,23 October 2020,,2020–,"
"
18,Steve Bruce,,Birmingham City,12 December 2001,19 November 2007,2006–2007,"[11][12]
"
19,Alex McLeish,,Birmingham City,28 November 2007,12 June 2011,2008–2009,"[13][14]
"
20,Chris Hughton,,Birmingham City,22 June 2011,,2011–2012,"[15][16]
"
21,Lee Clark,,Birmingham City,27 June 2012,20 October 2014,2012–2014,"[17]
"
22,Richard Beale,,Birmingham City,20 October 2014,27 October 2014,2014,"
"
23,Malcolm Crosby,,Birmingham City,20 October 2014,27 October 2014,2014,"
"
24,Gary Rowett,,Birmingham City,27 October 2014,14 December 2016,2014–2016,"
"
25,Gianfranco Zola,,Birmingham City,14 December 2016,17 April 2017,2016–2017,"
"
26,Harry Redknapp,,Birmingham City,18 April 2017,16 September 2017,2017,"
"
27,Lee Carsley,,Birmingham City,16 September 2017,29 September 2017,2017,"
"
28,Steve Cotterill,,Birmingham City,29 September 2017,,2017–2018,"
"
29,Garry Monk,,Birmingham City,,18 June 2019,2018–2019,"
"
30,Pep Clotet,,Birmingham City,18 June 2019,,2019–2020,"[18]
"
31,Craig Gardner,,Birmingham City,,31 July 2020,2020,"
"
32,Aitor Karanka,,Birmingham City,31 July 2020,,2020–,"
"
33,Steve Kean,,Blackburn Rovers,22 December 2010,29 September 2012,2012,"[19][20]
"
34,Eric Black,,Blackburn Rovers,29 September 2012,31 October 2012,2012,"
"
35,Henning Berg,,Blackburn Rovers,31 October 2012,27 December 2012,2012,"[21][22]
"
36,Gary Bowyer,,Blackburn Rovers,27 December 2012,11 January 2013,2012–2013,"
"
37,Michael Appleton,,Blackburn Rovers,11 January 2013,19 March 2013,2013,"[23][24]
"
38,Gary Bowyer,,Blackburn Rovers,19 March 2013,24 May 2013,2013,"
"
39,Gary Bowyer,,Blackburn Rovers,24 May 2013,10 November 2015,2013–2015,"[25]
"
40,Paul Lambert,,Blackburn Rovers,15 November 2015,,2015–2016,"
"
41,Owen Coyle,,Blackburn Rovers,,21 February 2017,2016–2017,"
"
42,Tony Mowbray,,Blackburn Rovers,22 February 2017,,20172018–,"
"
43,Simon Grayson,,Blackpool,10 November 2005,23 December 2008,2007–2008,"[26]
"
44,Tony Parkes,,Blackpool,24 December 2008,19 May 2009,2008–2009,"
"
45,Ian Holloway,,Blackpool,21 May 2009,,2009–20102011–2012,"[27][28]
"
46,Steve Thompson,,Blackpool,,,2012,"
"
47,Michael Appleton,,Blackpool,,11 January 2013,2012–2013,"[23][29]
"
48,Steve Thompson,,Blackpool,11 January 2013,16 February 2013,2013,"
"
49,Paul Ince,,Blackpool,16 February 2013,21 January 2014,2013–2014,"[30]
"
50,Barry Ferguson,,Blackpool,21 January 2014,,2014,"
"
51,José Riga,,Blackpool,11 June 2014,27 October 2014,2014,"[31]
"
52,Lee Clark,,Blackpool,30 October 2014,,2014–2015,"
"
53,Owen Coyle,,Bolton Wanderers,,,2012,"[32][33]
"
54,Jimmy Phillips,,Bolton Wanderers,,23 October 2012,2012,"
"
55,Dougie Freedman,,Bolton Wanderers,23 October 2012,,2012–2014,"[34]
"
56,Neil Lennon,,Bolton Wanderers,12 October 2014,15 March 2016,2014–2016,"
"
57,Jimmy Phillips,,Bolton Wanderers,15 March 2016,10 June 2016,2016,"
"
58,Phil Parkinson,,Bolton Wanderers,10 June 2016,22 August 2019,2017–2019,"
"
59,Eddie Howe,,Bournemouth,12 October 2012,,2013–2015,"
"
60,Jason Tindall,,Bournemouth,,,2020–,"
"
61,Mark Warburton,,Brentford,10 December 2013,,2014–2015,"
"
62,Marinus Dijkhuizen,,Brentford,,28 September 2015,2015,"
"
63,Lee Carsley,,Brentford,28 September 2015,30 November 2015,2015,"
"
64,Dean Smith,,Brentford,30 November 2015,10 October 2018,2015–2018,"
"
65,Thomas Frank,,Brentford,16 October 2018,,2018–,"
"
66,Mark McGhee,,Brighton & Hove Albion,28 October 2003,,2004–2006,"
"
67,Gus Poyet,,Brighton & Hove Albion,10 November 2010,23 June 2013,2011–2013,"[35]
"
68,Óscar Garcia,,Brighton & Hove Albion,26 June 2013,12 May 2014,2013–2014,"[36][37]
"
69,Sami Hyypiä,,Brighton & Hove Albion,,22 December 2014,2014,"[38]
"
70,Nathan Jones,,Brighton & Hove Albion,22 December 2014,31 December 2014,2014,"
"
71,Chris Hughton,,Brighton & Hove Albion,31 December 2014,13 May 2019,2014–2017,"
"
72,Gary Johnson,,Bristol City,23 September 2005,18 March 2010,2007–2010,"[39][40]
"
73,Keith Millen,,Bristol City,18 March 2010,,2010,"
"
74,Steve Coppell,,Bristol City,,12 August 2010,2010,"[41][42]
"
75,Keith Millen,,Bristol City,12 August 2010,,2010–2011,"[42][43]
"
76,Steve Wigley,,Bristol City,,19 October 2011,2011,"
"
77,Derek McInnes,,Bristol City,19 October 2011,12 January 2013,2011–2013,"[44][45]
"
78,Sean O'Driscoll,,Bristol City,14 January 2013,28 November 2013,2013,"[46]
"
79,Steve Cotterill,,Bristol City,,14 January 2016,2013–20142015–2016,"
"
80,John Pemberton,,Bristol City,14 January 2016,,2016,"
"
81,Lee Johnson,,Bristol City,,,2016–2020,"
"
82,Dean Holden,,Bristol City,,,2020–,"
"
83,Steve Cotterill,,Burnley,,,2004–2007,"[47][48]
"
84,Steve Davis,,Burnley,,22 November 2007,2007,"
"
85,Owen Coyle,,Burnley,22 November 2007,,2007–2009,"[49][50]
"
86,Brian Laws,,Burnley,13 January 2010,29 December 2010,2010,"[51][52]
"
87,Stuart Gray,,Burnley,29 December 2010,14 January 2011,2010–2011,"
"
88,Eddie Howe,,Burnley,14 January 2011,12 October 2012,2011–2012,"[53][54]
"
89,Terry Pashley,,Burnley,16 October 2012,30 October 2012,2012,"[55]
"
90,Sean Dyche §,,Burnley,30 October 2012,,2012–20142015–2016,"[56]
"
91,Nigel Clough,,Burton Albion,,18 May 2020,2016–2018,"
"
92,Lennie Lawrence,,Cardiff City,18 February 2002,25 May 2005,2004–2005,"[57]
"
93,Dave Jones,,Cardiff City,25 May 2005,31 May 2011,2005–2011,"[58][59]
"
94,Malky Mackay,,Cardiff City,17 June 2011,27 December 2013,2011–2013,"[60]
"
95,Ole Gunnar Solskjær,,Cardiff City,,18 September 2014,2014,"
"
96,Danny Gabbidon,,Cardiff City,18 September 2014,,2014,"
"
97,Scott Young,,Cardiff City,18 September 2014,,2014,"
"
98,Russell Slade,,Cardiff City,,,2014–2016,"
"
99,Paul Trollope,,Cardiff City,18 May 2016,,2016,"
"
100,Neil Warnock,,Cardiff City,,11 November 2019,2016–20182019,"
"
101,Neil Harris,,Cardiff City,16 November 2019,,2019–,"
"
102,Alan Pardew,,Charlton Athletic,24 December 2006,22 November 2008,2007–2008,"[61][62]
"
103,Phil Parkinson,,Charlton Athletic,28 November 2008,,2008–2009,"[63][64]
"
104,Chris Powell,,Charlton Athletic,14 January 2011,11 March 2014,2012–2014,"[65]
"
105,José Riga,,Charlton Athletic,11 March 2014,27 May 2014,2014,"
"
106,Bob Peeters,,Charlton Athletic,27 May 2014,11 January 2015,2014–2015,"[66]
"
107,Damian Matthew,,Charlton Athletic,11 January 2015,13 January 2015,2015,"
"
108,Ben Roberts,,Charlton Athletic,11 January 2015,13 January 2015,2015,"
"
109,Guy Luzon,,Charlton Athletic,13 January 2015,24 October 2015,2015,"
"
110,Karel Fraeye,,Charlton Athletic,26 October 2015,13 January 2016,2015–2016,"
"
111,José Riga,,Charlton Athletic,14 January 2016,,2016,"
"
112,Lee Bowyer §,,Charlton Athletic,22 March 2018,,2019–2020,"
"
