Player key,Age,Age when joined,Appearances,Assists,Assists p90,Competition,Foot,Games started,Goals,Goals p90,Height,In squad,Market value,Minutes played,PPG,Position group,Red cards,Second yellow cards,Shirt number,Substitutions off,Substitutions on,Years in team,Yellow cards,Yellow cards p90,Market value (prediction)
Adam Clayton (14/15),25.0,25.57752725928664,53.0,4.0,0.0914169629253428,"Championship, Championship Playoffs, FA Cup, League Cup",right,49.0,0.0,0.0,175.0,50.0,1.35,3938.0,1.921698113207547,M,0.0,1.0,8.0,9.0,4.0,0.8816060562502994,12.0,0.27425088877602843,1.9115284068460852
Adam Clayton (15/16),27.0,25.57752725928664,52.0,1.0,0.022733013387218996,"Championship, FA Cup, League Cup",right,48.0,1.0,0.022733013387218996,175.0,50.0,1.88,3959.0,1.9125,M,0.0,0.0,8.0,6.0,4.0,1.8836800208080933,13.0,0.29552917403384693,1.5936177738447217
Adam Clayton (16/17),28.0,25.57752725928664,46.0,2.0,0.04851752021563342,"FA Cup, League Cup, Premier League",right,44.0,0.0,0.0,175.0,48.0,2.55,3710.0,0.9978260869565218,M,0.0,0.0,8.0,6.0,2.0,2.8830160783588985,12.0,0.29110512129380056,2.656315531384291
Adam Clayton (17/18),29.0,25.57752725928664,48.0,0.0,0.0,"Championship, Championship Playoffs, FA Cup, League Cup",right,37.0,0.0,0.0,175.0,40.0,2.7,2474.0,1.5408333333333333,M,0.0,0.0,8.0,6.0,11.0,3.882352135909704,11.0,0.40016168148746967,2.4081996130219014
Adam Clayton (18/19),30.0,25.57752725928664,44.0,0.0,0.0,"Championship, FA Cup, League Cup",right,37.0,0.0,0.0,175.0,3.0,3.15,2599.0,1.5529545454545455,M,0.0,0.0,8.0,8.0,7.0,4.881688193460509,11.0,0.38091573682185453,3.4308671667714403
Adam Clayton (19/20),31.0,25.57752725928664,31.0,0.0,0.0,"Championship, FA Cup, League Cup",right,27.0,0.0,0.0,175.0,3.0,1.8,1882.0,1.278709677419355,M,0.0,0.0,8.0,10.0,4.0,5.883762158018303,4.0,0.19128586609989373,2.1747818457836297
Adam Forshaw (14/15),22.0,23.307802350493166,34.0,0.0,0.0,"Championship, Championship Playoffs, FA Cup, League Cup",right,20.0,0.0,0.0,185.0,22.0,0.188,717.0,1.9235294117647062,M,0.0,0.0,34.0,2.0,14.0,0.4216376790762302,3.0,0.37656903765690375,1.4681118401066953
Adam Forshaw (15/16),24.0,23.307802350493166,55.0,2.0,0.12337217272104181,"Championship, FA Cup, League Cup",right,34.0,2.0,0.12337217272104181,185.0,46.0,1.69,1459.0,2.111090909090909,M,0.0,0.0,34.0,2.0,21.0,1.423711643634024,1.0,0.061686086360520906,1.3563540030552395
Adam Forshaw (16/17),25.0,23.307802350493166,42.0,2.0,0.06474820143884892,"FA Cup, League Cup, Premier League",right,36.0,0.0,0.0,180.0,46.0,2.55,2780.0,0.7619047619047619,M,0.0,0.0,34.0,9.0,6.0,2.4230477011848293,4.0,0.12949640287769784,2.5787422183555444
Adam Forshaw (17/18),26.0,,20.0,0.0,0.0,"Championship, FA Cup, League Cup",,14.0,0.0,0.0,,19.0,,721.0,1.9235,M,0.0,0.0,0.0,3.0,6.0,,1.0,0.12482662968099861,1.2805383338143628
Adam Hammill (11/12),23.0,24.099057475512843,12.0,0.0,0.0,"Championship, FA Cup, League Cup",left,10.0,0.0,0.0,178.0,13.0,0.75,717.0,1.0,M,0.0,0.0,0.0,4.0,2.0,0.3340246548525979,0.0,0.0,0.8848837450821776
Adam Jackson (13/14),19.0,,0.0,0.0,0.0,Championship,,0.0,0.0,0.0,,2.0,,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.056174966452071866
Adam Jackson (15/16),22.0,,0.0,0.0,0.0,League Cup,,0.0,0.0,0.0,,1.0,,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.48661782624275235
